datetime,pm25,latitude,longitude,sensor_id,location_id
2026-09-05T22:00:00Z,3.73,49.25434399983347,6.8677440001926,9445105,3122
2024-09-08T15:00:00Z,13.0,37.645984,-118.966677,1853555,326060
2026-09-05T22:00:00Z,3.10347,51.15484299972151,9.031754000448155,9445108,4785
2021-08-09T11:00:00Z,9.0,23.359399999999997,104.25329999999998,33157,10217
2026-09-05T22:00:00Z,3.769,51.22760899972971,7.643095000138204,2173454,355295
2026-09-06T10:00:00Z,5.16658,50.5671850002032,8.50061899993149,9445112,4746
2021-08-09T11:00:00Z,22.0,31.205899999999996,121.39020000000001,237454,43639
2024-07-30T11:00:00Z,2.61,53.14130299973382,13.031661999730028,9445113,4693
2026-09-05T22:00:00Z,3.487,51.019338000233795,6.884571000447916,9445114,3083
2026-05-19T17:00:00Z,27.1,18.7888833,100.7763166,1304191,225674
2024-07-30T10:00:00Z,6.88,50.65406600025244,10.76953400035172,9445116,2962
2024-07-30T11:00:00Z,4.34,47.913256000093746,7.908035000221121,9445117,4697
2026-09-06T00:00:00Z,-1.0,47.815854999743216,13.720736999564965,9445118,2893
2025-12-04T00:05:00Z,2.5,-14.806034,-71.414847,9445119,2876866
2024-07-30T11:00:00Z,3.53,54.924966999767136,8.308208000317988,9445120,3579
2024-07-11T14:00:00Z,12.0,37.433297,129.19049599999997,9445121,2876864
2026-09-05T22:00:00Z,5.339,51.09763799992601,6.46946300030611,9445122,2949
2026-09-06T11:00:00Z,11.0,36.767778,127.605,8539882,2622878
2022-02-09T00:00:00Z,14.9495628718027,40.4783,-79.970377,5833109,938279
2026-05-11T06:00:00Z,3.5,59.3667459,17.9688665,1562152,270749
2026-09-06T11:00:00Z,6.0,34.811454,126.483199,9442869,2876561
2018-09-10T22:00:00Z,3.0,38.932993,-119.971733,16172,5968
2026-09-06T11:00:00Z,0.0,50.0829501,14.4897667,17140595,6474333
2026-09-06T11:00:00Z,19.0,37.433297,129.19049599999997,9445896,2876865
2026-09-06T11:00:00Z,0.0,49.79566925369313,-119.499372654631,15256511,6214282
2026-09-06T11:00:00Z,1.0,40.740022,-73.998504,8520925,2616564
2026-09-06T11:00:00Z,1.8,36.212814,-118.8134089,8497044,2605808
2026-05-20T20:00:00Z,25.0,34.2615,-118.41222,16361110,5026276
2026-08-31T21:00:00Z,9.2,29.864581,-97.664869,8482654,8678
